trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.525596487525562}",25,17,-2.6494300751633,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,15.844416156018704,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,4.505962859753257,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,9,0.7252846185206205,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,0,-50.76314280422659,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,0,-82.70946489432632,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,5,-39.45274989076168,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.4898902730042049}",35,25,-25.113992807849723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-73.10803760887794,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-15.350852044889853,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,5,9.32829017727099,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,7,1.3550849251025512,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46588077516979337}",30,1,-96.96160546488633,"{0: 23, 1: 2, 2: 0, 3: 2, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,18,2.2972149709636636,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,12,-83.98583507872448,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,6,4.574162154990589,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,12.151845573516113,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,11,4.950645054131119,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
